Faculty,Currency,Part_Time,Availability,Prerequisite_2,Full_Time,Description,Website,Offline,Prerequisite_3_grade,Level_Code,Prerequisite_3,Course,Blended,Duration,Int_Fees,Prerequisite_1_grade,Online,Course_Lang,Country,Local_Fees,Face_to_Face,Career_Outcomes,Prerequisite_2_grade,University,Distance,Duration_Time,Prerequisite_1,Remarks,City,Currency_Time
Humanities and Social Science,AUD,yes,A,,no,"The Graduate Certificate in Change Management (GCCM) is designed for practising managers who are particularly interested in managing change. The program centres on action learning (also called 'experiential learning') which involves drawing on your personal experiences to formulate new concepts. Course exercises and issues relevant to your organisation form the content of the Graduate Certificate. Readings from the course materials and online discussions with colleagues encourage you to analyse your job experiences in a structured way. The GCCM structure is designed to be flexible, with the certificate delivered completely online.",https://degrees.unsw.edu.au/graduate-certificate-in-change-management/,no,,PG,,Graduate Certificate in Change Management,no,1,"19,920",6.5,yes,English,Australia,"19,920",no,"Business Management, Government Management, Organisational Change",,University of New South Wales,yes,Year,IELTS,,Online,year
Humanities and Social Science,AUD,yes,A,,no,"The Graduate Certificate in Change Management (GCCM) is designed for practising managers who are particularly interested in managing change. The program centres on action learning (also called 'experiential learning') which involves drawing on your personal experiences to formulate new concepts. Course exercises and issues relevant to your organisation form the content of the Graduate Certificate. Readings from the course materials and online discussions with colleagues encourage you to analyse your job experiences in a structured way. The GCCM structure is designed to be flexible, with the certificate delivered completely online.",https://degrees.unsw.edu.au/graduate-certificate-in-change-management/,no,,PG,,Graduate Certificate in Change Management,no,1,"19,920",6.5,yes,English,Australia,"19,920",no,"Business Management, Government Management, Organisational Change",,University of New South Wales,yes,Year,IELTS,,Kensington,year
Computer Science & Information Technology,AUD,no,D,,no,"The AGSM Graduate Certificate in Digital Innovation is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree. These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.",https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-digital-innovation/,yes,,PG,,Graduate Certificate in Digital Innovation,yes,8,,6.5,yes,English,Australia,"19,920 - 21,180",yes,"Business Management, Government Management, Organisational Change",,University of New South Wales,yes,Months,IELTS,,Online,year
Computer Science & Information Technology,AUD,no,D,,no,"The AGSM Graduate Certificate in Digital Innovation is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree. These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.",https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-digital-innovation/,yes,,PG,,Graduate Certificate in Digital Innovation,yes,8,,6.5,yes,English,Australia,"19,920 - 21,180",yes,"Business Management, Government Management, Organisational Change",,University of New South Wales,yes,Months,IELTS,,Kensington,year
Humanities and Social Science,AUD,no,D,,no,"The AGSM Graduate Certificate in Leadership is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree. It has been designed to develop effective, impactful and successful leadership in today’s complex and changing business climate.  These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.",https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-leadership/,yes,,PG,,Graduate Certificate in Leadership,yes,8,,6.5,yes,English,Australia,"19,920 - 21,180",yes,"Business Management, Government Management, Organisational Change",,University of New South Wales,yes,Months,IELTS,,Online,year
Humanities and Social Science,AUD,no,D,,no,"The AGSM Graduate Certificate in Leadership is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree. It has been designed to develop effective, impactful and successful leadership in today’s complex and changing business climate.  These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.",https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-leadership/,yes,,PG,,Graduate Certificate in Leadership,yes,8,,6.5,yes,English,Australia,"19,920 - 21,180",yes,"Business Management, Government Management, Organisational Change",,University of New South Wales,yes,Months,IELTS,,Kensington,year
Business & Commerce & Finance & Accounting,AUD,no,D,,no,"The Graduate Certificate in Management is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree, providing foundational knowledge required for strategic management success.These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.",https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-management/,yes,,PG,,Graduate Certificate in Management,yes,8,,6.5,yes,English,Australia,"19,920 - 21,180",yes,"Business Management, Government Management, Organisational Change",,University of New South Wales,yes,Months,IELTS,,Online,year
Business & Commerce & Finance & Accounting,AUD,no,D,,no,"The Graduate Certificate in Management is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree, providing foundational knowledge required for strategic management success.These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.",https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-management/,yes,,PG,,Graduate Certificate in Management,yes,8,,6.5,yes,English,Australia,"19,920 - 21,180",yes,"Business Management, Government Management, Organisational Change",,University of New South Wales,yes,Months,IELTS,,Kensington,year
Business & Commerce & Finance & Accounting,AUD,no,D,,no,"The AGSM Graduate Certificate in Strategic Management is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree. These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.",https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-strategic-management/,yes,,PG,,Graduate Certificate in Strategic Management,yes,8,,6.5,yes,English,Australia,"19,920 - 21,180",yes,"Business Management, Government Management, Organisational Change",,University of New South Wales,yes,Months,IELTS,,Online,year
Business & Commerce & Finance & Accounting,AUD,no,D,,no,"The AGSM Graduate Certificate in Strategic Management is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree. These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.",https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-strategic-management/,yes,,PG,,Graduate Certificate in Strategic Management,yes,8,,6.5,yes,English,Australia,"19,920 - 21,180",yes,"Business Management, Government Management, Organisational Change",,University of New South Wales,yes,Months,IELTS,,Kensington,year
Computer Science & Information Technology,AUD,no,D,,no,"The AGSM Graduate Certificate in Technology Management is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree. These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.",https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-technology-management/,yes,,PG,,Graduate Certificate in Technology Management,yes,8,,6.5,yes,English,Australia,"19,920 - 21,180",yes,"Business Management, Government Management, Organisational Change",,University of New South Wales,yes,Months,IELTS,,Online,year
Computer Science & Information Technology,AUD,no,D,,no,"The AGSM Graduate Certificate in Technology Management is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree. These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.",https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-technology-management/,yes,,PG,,Graduate Certificate in Technology Management,yes,8,,6.5,yes,English,Australia,"19,920 - 21,180",yes,"Business Management, Government Management, Organisational Change",,University of New South Wales,yes,Months,IELTS,,Kensington,year
Business & Commerce & Finance & Accounting,AUD,no,A,,yes,"The AGSM Master of Business Administration (MBA) is a full-time degree designed to prepare students for general management and executive leadership roles in business, government, or not-for-profit organisations. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to thrive in their professional endeavours. The AGSM MBA combines traditional classroom teaching with case studies and teamwork to develop the next generation of leaders. You'll learn from an internationally recognised faculty with industry experience, acquire management insights from current business leaders, and benefit from the knowledge of your fellow students, many of whom have worked for global organisations. The small cohort size, full-time schedule and immersive teaching model ensures you develop a strong network of peers that includes your MBA program colleagues and over 17,000 AGSM global alumni.",https://degrees.unsw.edu.au/AGSM-master-of-business-administration/,yes,,PG,,Master of Business Administration,no,18,"70,200",6.5,no,English,Australia,"70,200",yes,"Consulting, Strategy and innovation, Business Analyst, Brand Manager, General Manager Director, Entrepreneur",,University of New South Wales,no,Months,IELTS,,Kensington,year
