Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
PG,University of New South Wales,Online,Graduate Certificate in Change Management,Humanities and Social Science,"19,920","19,920",AUD,year,1,Year,no,yes,IELTS,,,6.5,,,https://degrees.unsw.edu.au/graduate-certificate-in-change-management/,English,A,"The Graduate Certificate in Change Management (GCCM) is designed for practising managers who are particularly interested in managing change. The program centres on action learning (also called 'experiential learning') which involves drawing on your personal experiences to formulate new concepts. Course exercises and issues relevant to your organisation form the content of the Graduate Certificate. Readings from the course materials and online discussions with colleagues encourage you to analyse your job experiences in a structured way. The GCCM structure is designed to be flexible, with the certificate delivered completely online.","Business Management, Government Management, Organisational Change",Australia,yes,no,yes,no,no,
PG,University of New South Wales,Kensington,Graduate Certificate in Change Management,Humanities and Social Science,"19,920","19,920",AUD,year,1,Year,no,yes,IELTS,,,6.5,,,https://degrees.unsw.edu.au/graduate-certificate-in-change-management/,English,A,"The Graduate Certificate in Change Management (GCCM) is designed for practising managers who are particularly interested in managing change. The program centres on action learning (also called 'experiential learning') which involves drawing on your personal experiences to formulate new concepts. Course exercises and issues relevant to your organisation form the content of the Graduate Certificate. Readings from the course materials and online discussions with colleagues encourage you to analyse your job experiences in a structured way. The GCCM structure is designed to be flexible, with the certificate delivered completely online.","Business Management, Government Management, Organisational Change",Australia,yes,no,yes,no,no,
PG,University of New South Wales,Online,Graduate Certificate in Digital Innovation,Computer Science & Information Technology,,"19,920 - 21,180",AUD,year,8,Months,no,no,IELTS,,,6.5,,,https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-digital-innovation/,English,D,"The AGSM Graduate Certificate in Digital Innovation is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree. These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.","Business Management, Government Management, Organisational Change",Australia,yes,yes,yes,yes,yes,
PG,University of New South Wales,Kensington,Graduate Certificate in Digital Innovation,Computer Science & Information Technology,,"19,920 - 21,180",AUD,year,8,Months,no,no,IELTS,,,6.5,,,https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-digital-innovation/,English,D,"The AGSM Graduate Certificate in Digital Innovation is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree. These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.","Business Management, Government Management, Organisational Change",Australia,yes,yes,yes,yes,yes,
PG,University of New South Wales,Online,Graduate Certificate in Leadership,Humanities and Social Science,,"19,920 - 21,180",AUD,year,8,Months,no,no,IELTS,,,6.5,,,https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-leadership/,English,D,"The AGSM Graduate Certificate in Leadership is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree. It has been designed to develop effective, impactful and successful leadership in today’s complex and changing business climate.  These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.","Business Management, Government Management, Organisational Change",Australia,yes,yes,yes,yes,yes,
PG,University of New South Wales,Kensington,Graduate Certificate in Leadership,Humanities and Social Science,,"19,920 - 21,180",AUD,year,8,Months,no,no,IELTS,,,6.5,,,https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-leadership/,English,D,"The AGSM Graduate Certificate in Leadership is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree. It has been designed to develop effective, impactful and successful leadership in today’s complex and changing business climate.  These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.","Business Management, Government Management, Organisational Change",Australia,yes,yes,yes,yes,yes,
PG,University of New South Wales,Online,Graduate Certificate in Management,Business & Commerce & Finance & Accounting,,"19,920 - 21,180",AUD,year,8,Months,no,no,IELTS,,,6.5,,,https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-management/,English,D,"The Graduate Certificate in Management is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree, providing foundational knowledge required for strategic management success.These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.","Business Management, Government Management, Organisational Change",Australia,yes,yes,yes,yes,yes,
PG,University of New South Wales,Kensington,Graduate Certificate in Management,Business & Commerce & Finance & Accounting,,"19,920 - 21,180",AUD,year,8,Months,no,no,IELTS,,,6.5,,,https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-management/,English,D,"The Graduate Certificate in Management is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree, providing foundational knowledge required for strategic management success.These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.","Business Management, Government Management, Organisational Change",Australia,yes,yes,yes,yes,yes,
PG,University of New South Wales,Online,Graduate Certificate in Strategic Management,Business & Commerce & Finance & Accounting,,"19,920 - 21,180",AUD,year,8,Months,no,no,IELTS,,,6.5,,,https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-strategic-management/,English,D,"The AGSM Graduate Certificate in Strategic Management is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree. These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.","Business Management, Government Management, Organisational Change",Australia,yes,yes,yes,yes,yes,
PG,University of New South Wales,Kensington,Graduate Certificate in Strategic Management,Business & Commerce & Finance & Accounting,,"19,920 - 21,180",AUD,year,8,Months,no,no,IELTS,,,6.5,,,https://degrees.unsw.edu.au/AGSM-graduate-certificate-in-strategic-management/,English,D,"The AGSM Graduate Certificate in Strategic Management is a complete stand-alone qualification and can be undertaken as a pathway to an AGSM Master of Business Administration (MBA) degree. These flexible programs are facilitated by world-class academics and industry practitioners who create dynamic and interactive learning experiences – whether students choose to study in virtual and/or face-to-face modes. Students are immersed in active learning experiences and exposed to the practical tools and skills needed to not only succeed, but to thrive in today’s accelerated world.","Business Management, Government Management, Organisational Change",Australia,yes,yes,yes,yes,yes,
