Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,University of New South Wales,Kensington,Bachelor of International Studies,Education,"6,684","6,684",AUD,year,4,Years,yes,no,year 12,IELTS,,90,6,,https://degrees.unsw.edu.au/international-studies/,English,A,"Students of international studies, whether they are aspiring diplomats or gifted linguists, have a natural curiosity about the world. This degree challenges you to examine the dynamics of global and regional change, explore developments in international politics and economics, and evaluate the ways in which the world is changing. This knowledge will enable you to analyse the shifting forces of sovereignty, nationalism, conflict, humanitarian aid and movements of people across borders and across the globe. UNSW has more than 200 partner universities in over 38 countries. Learn through experience as you live and study in another country on a one-year exchange program, plunging headfirst into local language and customs. And no need to worry as your overseas classes can be taken in English.","International business consultant, Government agencies, including Department of Foreign Affairs and Trade, United Nations, Non-governmental organisations, Journalist, Tourism and trade adviser",Australia,no,yes,no,yes,no,
BA,University of New South Wales,Kensington,"Bachelor of Music, Bachelor of Education (Secondary)",Creative Arts & Design & Music,"38,640","38,640",AUD,year,5,Years,yes,no,year 12,IELTS,,90,6,,https://degrees.unsw.edu.au/music-education-secondary/,English,A,"This double degree gives you a professional teaching qualification as well as a specialist degree in music, allowing you to pursue a career as a music teacher. Our creative environment includes purpose-built facilities, diverse performance opportunities and courses taught by leading academics. In addition to core courses in performance, musicianship and musicology   and extensive training in ensemble skills and professional practice   you will study one of four specialist music streams: music creative practice, music inquiry, sonic arts or music pedagogy.
Along with the theoretical aspects of education, we place great importance on practical experience. In your final two years, you will develop skills in classroom competence and spend up to 80 days in supervised teaching in at least two secondary-school contexts.","Musician, Arts advocate, Arts administrator/manager, Secondary-school music or combined arts teacher, Roles in the music recording and film industries",Australia,no,yes,no,yes,no,
BA,University of New South Wales,Kensington,Bachelor of Actuarial Studies,Business & Commerce & Finance & Accounting,"45,600","45,600",AUD,year,3,Years,yes,no,year 12,IELTS,,90,6,,https://degrees.unsw.edu.au/actuarial-studies/,English,A,"Actuaries play a vital role in strategic planning and financial management in the financial services, insurance and superannuation industries. This degree challenges the mathematically minded to find patterns and trends where others see only a mass of data. Studies in mathematics, statistics, accounting, economics, finance, demographics, analytics and modelling provide you with a solid foundation to enter the actuarial profession. Â Expand your expertise and career options by studying a second major, such as Accounting, Actuarial Risk Management and Analytics, Business Economics, Business Strategy and Economic Management, Business Law, Finance, Financial Economics, Human Resource Management, Information Systems, International Business, Management, Marketing, Real Estate Studies, Taxation. Approved majors from other faculties include Mathematics, Quantitative Data Science and Statistics.","Actuarial/insurance/wealth management/credit/forecasting, Asset management trainee, Business consultant, Investment banker, Risk assessment officer, Statistical resear",Australia,no,yes,no,yes,no,
BA,University of New South Wales,Kensington,Bachelor of Actuarial Studies (Co op),Business & Commerce & Finance & Accounting,"45,600","10,748",AUD,year,4,Years,yes,no,year 12,IELTS,,97.5,6,,https://degrees.unsw.edu.au/actuarial-studies-co-op/,English,D,"Actuaries play a vital role in strategic planning and financial management in the financial services, insurance and superannuation industries. Combine the challenging Actuarial Studies degree with up to 18 months professional experience at industry-leading companies. This degree provides a solid foundation to enter the actuarial profession through studies in mathematics, statistics, accounting, economics, finance, demographics, analytics and modelling. You will graduate with excellent job prospects, thanks to the Co-op programs assessable internship placements at sponsoring organisations. Â It includes 15 to 18 months of industry training with up to three different companies, including Allianz, EY, Finity Consulting, KPMG Actuaries and PwC. You can also enhance your learning experience with our overseas exchange and global practicum program. This is a scholarship program where successful applicants receive financial support.","Actuarial/insurance/wealth management/credit/forecasting/data analyst, Asset management trainee, Business consultant, Investment banker, Risk assessment officer, Statistical research analyst, Superannuation adviser",Australia,no,no,no,no,no,
HONS,University of New South Wales,Kensington,Bachelor of Actuarial Studies (Honours),Business & Commerce & Finance & Accounting,"11,155","11,155",AUD,year,1,Year,yes,no,year 12,IELTS,,97.5,6,,https://degrees.unsw.edu.au/actuarial-studies-honours/,English,A,"Take your studies to the next level with this one-year Honours degree, where you will gain advanced knowledge and research skills in Actuarial Studies. Actuaries play a vital role in strategic planning and financial management in the financial services, insurance and superannuation industries. Through a significant research thesis, you will develop analytical, problem-solving and research skills highly sought after in business and government.","Actuarial/insurance/wealth, Management/credit/forecasting/data analyst, Asset management trainee, Business consultant, Investment banker, Risk assessment officer, Statistical research analyst, Superannuation adviser",Australia,no,yes,no,yes,no,
BA,University of New South Wales,Kensington,"Bachelor of Actuarial Studies, Bachelor of Commerce",Business & Commerce & Finance & Accounting,"45,600","45,600",AUD,year,4,Years,yes,no,year 12,IELTS,,97.5,6,,https://degrees.unsw.edu.au/actuarial-studies-commerce/,English,A,"Actuaries play a vital role in strategic planning and financial management in the financial services, insurance and superannuation industries. Broaden your career prospects by graduating with business degrees in Actuarial Studies and Commerce.This degree provides a solid foundation to enter the actuarial profession through studies in mathematics, statistics, accounting, economics, finance, demographics, analytics and modelling. You can also select up to two Commerce majors that will provide you with a fundamental understanding of general business principles and allow you to develop specialist knowledge in a business area of your choice. Areas of study include accounting, business economics, business strategy and economic management, finance, financial economics, human resource management, information systems, international business, marketing, real estate studies and taxation.","Accountant/auditor, Actuarial/insurance/wealth management/credit/forecasting/data analyst, Business consultant, Economist, Investment banker, Risk assessment officer* Statistical research analyst, Superannuation and/or tax adviser",Australia,no,yes,no,yes,no,
BA,University of New South Wales,Kensington,"Bachelor of Actuarial Studies, Bachelor of Computer Science",Computer Science & Information Technology,"46,680","46,680",AUD,year,4,Years,yes,no,year 12,IELTS,,97.5,6,,https://degrees.unsw.edu.au/bachelor-of-actuarial-studies-comp-science/,English,A,"This double degree allows you to study both Actuarial Studies and Computer Science and discover the many practical applications from combining such majors. Computer Science involves the study of the design, construction and uses of computer systems. It is concerned with the representation of data and data structures in computer systems and the design of algorithms for automatic manipulation of this information by programming languages and machine systems. Actuarial Studies uses modelling to quantify and manage risks in the financial management of insurance, superannuation, funds management, banking and finance. The double degree program allows you to combine advanced studies in mathematics, economics, insurance, finance, statistics and programming.","Actuarial analyst, Business consultant, Chief technology officer, Database developer, Credit analyst, Systems engineer",Australia,no,yes,no,yes,no,
BA,University of New South Wales,Kensington,"Bachelor of Actuarial Studies, Bachelor of Economics",Business & Commerce & Finance & Accounting,"45,600","45,600",AUD,year,4,Years,yes,no,year 12,IELTS,,97.5,6,,https://degrees.unsw.edu.au/actuarial-studies-economics/,English,A,"Stand out in business and finance by combining essential quantitative and modelling skills from Actuarial Studies with Economics.Actuaries play a vital role in strategic planning and financial management in the financial services, insurance and superannuation industries. This degree provides a solid foundation to enter the actuarial profession through studies in mathematics, statistics, accounting, economics, finance, demographics, analytics and modelling.Economics subjects will equip you with analytical and statistical skills you can apply to any business or finance role. Core studies in economic theory and econometric methods   combined with a specialisation in econometrics, economics or financial economics   will give you a solid grounding in modern economics analysis.You may also choose to take on a third major from subjects such as accounting, business law, finance, management, marketing, real estate studies or taxation.","Actuarial/insurance/wealth management/credit/forecasting/data analyst, Economist, Policy adviser, Risk assessment officer, Statistical analyst, Superannuation adviser",Australia,no,yes,no,yes,no,
BA,University of New South Wales,Kensington,"Bachelor of Actuarial Studies, Bachelor of Information Systems",Computer Science & Information Technology,"45,600","45,600",AUD,year,4,Years,yes,no,year 12,IELTS,,97.5,6,,https://degrees.unsw.edu.au/bachelor-of-actuarial-studies-Info-systems/,English,A,"This double degree allows you to study both Actuarial Studies and Information Systems and discover the many practical applications from combining such majors. Actuarial Studies is concerned about more than just mathematics and numbers. It combines study in mathematics, economics, insurance, finance, statistics and programming. This double degree will allow you to complement your Actuarial Studies with business analytics. Information Systems looks at how we can create and use new and existing technology to solve business problems. You will gain skills and experience in business analytics, business programming, data management, enterprise systems and network security. The double degree helps you to harness analytic skills, which are one of the core sub-disciplines of the actuarial profession, with specific business analytic skills   and learn how to use modelling and data analysis techniques on large data sets to discover predictive patterns and relationships for business use.","Actuarial analyst, Business consultant, Credit analyst, Insurance analyst, Risk assessment officer, Wealth management analyst",Australia,no,yes,no,yes,no,
BA,University of New South Wales,Kensington,"Bachelor of Actuarial Studies, Bachelor of Law",Business & Commerce & Finance & Accounting,"45,480","45,480",AUD,year,5,Years,yes,no,year 12,IELTS,,97.5,6,,https://degrees.unsw.edu.au/actuarial-studies-law/,English,A,"This highly rewarding double degree allows students to develop a greater understanding of the legal framework that businesses operate in. The Actuarial Studies component involves the application of statistical and financial analysis and risk models to management in insurance, superannuation, investment and finance. It will enable you to develop both the technical and non-technical skills required to pursue a career as an actuarial analyst or to explore opportunities in the financial services and insurance industries. The Law degree aims to develop graduates who have excellent analytical skills, a capacity for scholarly research, effective oral and written communication skills, and a commitment to personal and professional development, ethical practice and social responsibility. *Term 3 Intake is available to International Students only.","In-house counsel in insurance, finance and investment industries, Risk-management consultant, Financial analyst",Australia,no,yes,no,yes,no,
BA,University of New South Wales,Kensington,"Bachelor of Actuarial Studies, Bachelor of Science",Business & Commerce & Finance & Accounting,"46,320","46,320",AUD,year,4,Years,yes,no,year 12,IELTS,,97.5,6,,https://degrees.unsw.edu.au/actuarial-studies-science/,English,A,"Actuaries play a vital role in strategic planning and financial management in the financial services, insurance and superannuation industries. Stand out in the finance field by combining essential quantitative and modelling skills from Actuarial Studies with methodological insights from Science.This degree provides a solid foundation to enter the actuarial profession through studies in mathematics, statistics, accounting, economics, finance, demographics, analytics and modelling.With more than 20 majors to choose from, the Science component offers a wide range of possibilities. Fields of study include bioinformatics, chemistry, food science, marine science, mathematics, pharmacology, psychology and statistics.You can enhance your learning experience with our overseas exchange and global practicum program.","Actuarial/forecasting/data analyst, Business consultant, Clinical research associate, Quality assurance officer, Research scientist, Statistical research analyst, Statistician",Australia,no,yes,no,yes,no,
HONS,University of New South Wales,Kensington,"Bachelor of Actuarial Studies, Bachelor of Science (Advanced Mathematics) (Honours)",Business & Commerce & Finance & Accounting,"46,320","46,320",AUD,year,5,Years,yes,no,year 12,IELTS,,97.5,6,,https://degrees.unsw.edu.au/actuarial-studies-advanced-mathematics-honours/,English,A,"This double degree will give you the advanced mathematics knowledge and practical actuarial skills you need to succeed in the financial services or insurance industries.Actuaries play a vital role in strategic planning and financial management in the financial services, insurance and superannuation industries. This degree provides a solid foundation to enter the actuarial profession through studies in mathematics, statistics, accounting, economics, finance, demographics, analytics and modelling.Develop strong research skills with the Advanced Mathematics degree, which involves coursework and an Honours research project. Potential majors include applied mathematics, pure mathematics, quantitative risk and advanced statistics.","Actuarial/insurance/wealth management/credit/forecasting/data analyst, Asset management trainee, Mathematician, Risk assessment officer, Statistician, Wealth management analyst",Australia,no,yes,no,yes,no,
HONS,University of New South Wales,Kensington,Bachelor of Advanced Science (Honours),Science and Health Science,"47,760","47,760",AUD,year,4,Years,yes,no,year 12,IELTS,,97.5,6,,https://degrees.unsw.edu.au/advanced-science-honours/,English,A,"The Bachelor of Advanced Science (Honours) is the degree of choice for innovative thinkers with exceptional scientific knowledge and skills. Its designed for talented students with the inclusion of advanced-level courses and an Honours year. You have access to advanced fields of science with 25 majors to choose from including Advanced Physical Oceanography, Climate Systems Science, Microbiology, Vision Science, Advanced Physics, Earth Science, Molecular and Cell Biology, Anatomy, Ecology, Neuroscience, Bioinformatics, Genetics, Pathology, Biology, Geography, Pharmacology, Biotechnology, Marine and Coastal Science, Physiology, Chemistry, Materials Science, Psychology, Climate Dynamics, Mathematics and Statistics. During your studies, you will develop the critical and integrative thinking needed for the successful completion of the research-based Honours year.","Public sector research in universities and government institutes like CSIRO, Private sector research in pharmaceuticals and biotechnology companies, Public policy, Health and environmental related non-profits, Market research and product development, Management, technical and environmental consulting, Data analytics or medical sales, Science communication, journalism and teaching",Australia,no,yes,no,yes,no,
HONS,University of New South Wales,Kensington,"Bachelor of Advanced Science (Hons), Bachelor of Arts",Creative Arts & Design & Music,"47,760","47,760",AUD,year,5,Years,yes,no,year 12,IELTS,,97.5,6,,https://degrees.unsw.edu.au/advanced-science-honours-arts/,English,A,"Broaden your career prospects by studying Advanced Science and Arts together. Both degrees offer plenty of flexibility, allowing you to tailor your studies to suit your interests and career goals. The Advanced Science degree differs from the Bachelor of Science with the inclusion of advanced-level courses, an Honours year and options tailored to your aptitude and interests. In addition to foundation subjects such as biology, chemistry, physics and maths, you also have access to more than 25 advanced fields of science. During your studies, you will develop the critical and integrative thinking needed for the successful completion of the research-based Honours year. You can then choose from more than 35 Arts majors, where you will develop transferable skills and in-depth knowledge, and gain the tools to think critically, communicate effectively and conduct independent research.","Anthropologist, Community development worker, Management consultant, Parks and land manager, Market researcher/analyst, Science communicator",Australia,no,yes,no,yes,no,
HONS,University of New South Wales,Kensington,"Bachelor of Advanced Science (Honours), Bachelor of Social Science",Humanities and Social Science,"42,360","42,360",AUD,year,68,Months,yes,no,year 12,IELTS,,97.5,6,,https://degrees.unsw.edu.au/advanced-science-honours-social-science/,English,A,"Broaden your career prospects by studying Advanced Science and Social Science together. The Advanced Science degree differs from the Bachelor of Science with the inclusion of advanced-level courses, an Honours year and options tailored to your aptitude and interests. In addition to foundation subjects such as biology, chemistry, physics and maths, you have access to more than 25 advanced fields of science. During your studies, you will develop the critical and analytical thinking needed for the successful completion of the research-based Honours year. Through the Bachelor of Social Science components, you will develop the knowledge and skills to understand, analyse and influence . You will undertake a core program that covers social science, policy analysis and research methods, and combine this with a choice of a major and an internship.","Science communicator, Anthropologist, Community development worker, Climate analyst, Policy specialist, Entrepreneur, Environmental consultant",Australia,no,yes,no,yes,no,
HONS,University of New South Wales,Kensington,"Bachelor of Advanced Science (Honours), Bachelor of Engineering (Honours)",Engineering,"47,760","47,760",AUD,year,6,Years,yes,no,year 12,IELTS,,97.5,6,,https://degrees.unsw.edu.au/advanced-science-honours-engineering-honours/,English,A,"Broaden your career opportunities by studying Advanced Science and Engineering together. The Advanced Science degree differs from the Bachelor of Science with the inclusion of advanced-level courses, an Honours year and options tailored to your aptitude and interests. In addition to foundation subjects such as biology, chemistry, physics and maths, you also have access to more than 25 advanced fields of science. During your studies, you will develop the critical and analytical thinking needed for the successful completion of the research-based Honours year.In the Engineering degree you will have the opportunity to apply yourself to engineering design and enquiry projects, professional engineering practice, engineering and technical management, and research. Choose from a wide range of specialisations, from traditional disciplines such as Civil Engineering and Electrical Engineering, through to those tailored to modern challenges, such as Renewable Energy Engineering.","Hydrologist, Climate scientist, Computer scientist, Food scientist, Venture capitalist, Medical technician, Formulation chemist",Australia,no,yes,no,yes,no,
